new_ranks,new_rank,new_scores,facts,prediction,original_rank,#facts,original_score,perspective,new_score
"[2, 1]",1.5,"[6.9915977, 6.958507]","[(25534, 9, 13676), (25809, 9, 13676), (25534, 9, 13676), (25534, 3, 2586), (5179, 3, 2586)]","(5179, 9, 13676)",1,5,8.899089,all,6.9750524
"[2, 2]",2.0,"[5.953107, 6.394602]","[(7426, 3, 666), (7426, 3, 39), (7426, 3, 58)]","(7426, 11, 8038)",1,3,6.6888194,all,6.1738544
"[1, 1]",1.0,"[6.2465715, 6.229231]","[(11328, 11, 7992), (11328, 3, 10), (5822, 3, 10), (11328, 11, 7992), (5822, 3, 476), (11328, 3, 476), (11328, 3, 278), (5822, 3, 278), (11328, 11, 7992)]","(5822, 11, 7992)",1,9,6.493819,all,6.237901
"[2, 3]",2.5,"[6.522832, 6.1803293]","[(20123, 3, 40), (20123, 9, 6144), (4777, 3, 40), (4777, 2, 709), (20123, 9, 6144), (20123, 2, 709), (12443, 3, 40), (4777, 3, 40), (12443, 9, 6144)]","(4777, 9, 6144)",1,9,7.26068,all,6.3515806
"[13, 30]",21.5,"[4.3723884, 3.8797345]","[(10310, 3, 7062), (10310, 9, 9349), (7058, 3, 7062), (7058, 2, 7059), (10310, 9, 9349), (10310, 2, 7059), (20818, 9, 9349), (20818, 3, 7062), (7058, 3, 7062)]","(7058, 9, 9349)",1,9,6.829075,all,4.1260614
"[2, 1]",1.5,"[7.785717, 7.435953]","[(22756, 9, 8151), (22756, 3, 177), (6300, 3, 177), (25531, 9, 8151), (6300, 3, 177), (25531, 3, 177), (6300, 3, 715)]","(6300, 9, 8151)",2,7,8.371053,all,7.610835
"[1, 1]",1.0,"[7.249581, 7.0681295]","[(7788, 3, 37), (25070, 3, 37), (25070, 11, 8038), (7788, 3, 9), (23745, 11, 8038), (23745, 3, 9), (23745, 11, 8038), (7788, 3, 78), (23745, 3, 78)]","(7788, 11, 8038)",1,9,7.2885904,all,7.1588554
"[1, 1]",1.0,"[9.510734, 9.384164]","[(7154, 1, 65), (23960, 9, 8418), (23960, 1, 65), (23960, 9, 8418), (23960, 3, 111), (7154, 3, 111), (24581, 9, 8418), (24581, 3, 111), (7154, 3, 111)]","(7154, 9, 8418)",1,9,9.283322,all,9.447449
"[1, 1]",1.0,"[7.215662, 6.96389]","[(6619, 3, 40), (20090, 3, 40), (20090, 11, 6729), (6619, 3, 40), (24840, 3, 40), (24840, 11, 6729), (6619, 3, 40), (15932, 11, 6729), (15932, 3, 40)]","(6619, 11, 6729)",1,9,7.5059404,all,7.089776
"[1, 1]",1.0,"[6.587963, 6.559065]","[(24925, 11, 7992), (24925, 12, 7992), (5696, 3, 75), (24925, 3, 75), (24925, 11, 7992), (5696, 3, 6), (24925, 12, 7992), (24925, 3, 6), (24925, 12, 7992), (24925, 11, 7992), (24925, 3, 40), (5696, 3, 40)]","(5696, 11, 7992)",1,12,6.5734153,all,6.573514
"[3, 4]",3.5,"[5.894514, 5.253252]","[(22529, 11, 7992), (6848, 3, 9), (22529, 3, 9), (22529, 11, 7992), (6848, 3, 75), (22529, 3, 75), (22529, 11, 7992)]","(6848, 11, 7992)",1,7,5.854315,all,5.573883
"[3, 1]",2.0,"[6.3527317, 7.030484]","[(18756, 11, 6729), (18756, 1, 65), (7868, 1, 65), (18336, 11, 6729), (18336, 1, 65), (7868, 1, 65), (8140, 11, 6729), (8140, 1, 65), (7868, 1, 65)]","(7868, 11, 6729)",1,9,7.079462,all,6.691608
"[2, 3]",2.5,"[5.964465, 6.1272297]","[(23138, 11, 6729), (5334, 3, 40), (23138, 3, 40), (18403, 11, 6729), (5334, 3, 40), (18403, 3, 40), (20195, 11, 6729), (20195, 3, 40), (5334, 3, 40)]","(5334, 11, 6729)",1,9,6.271142,all,6.0458474
"[1, 1]",1.0,"[7.742386, 7.1095743]","[(25177, 3, 346), (6263, 3, 346), (25177, 11, 8038), (9725, 3, 2697), (6263, 3, 2697), (9725, 11, 8038), (20230, 3, 651), (20230, 11, 8038), (6263, 3, 651)]","(6263, 11, 8038)",1,9,7.416071,all,7.42598
"[1, 1]",1.0,"[7.6879473, 8.213305]","[(15740, 9, 7759), (7517, 3, 2279), (15740, 3, 2279), (7517, 3, 4), (15740, 9, 7759), (15740, 3, 4), (15740, 1, 168), (15740, 9, 7759), (7517, 1, 168)]","(7517, 9, 7759)",1,9,8.731943,all,7.9506264
"[1, 1]",1.0,"[8.900976, 8.356632]","[(6914, 3, 33), (6914, 3, 33), (24167, 3, 33), (24167, 9, 7790), (6914, 3, 33), (22672, 3, 33), (22672, 9, 7790)]","(6914, 9, 7790)",1,7,9.0881,all,8.628804
