new_rank,new_score,new_ranks,facts,original_score,new_scores,prediction,original_rank,#facts
2.0,0.48658657260239124,"[1, 3]","[(7289, 1, 2467), (7289, 3, 75), (7289, 3, 2192), (7289, 1, 2467), (7289, 2, 27), (7289, 3, 2192), (7289, 3, 276), (7289, 1, 2467)]",3.7333531508920714e-05,"[0.968569815158844, 0.004603330045938492]","(7289, 11, 7956)",1,8
9.5,0.00037489644213906104,"[3, 16]","[(6966, 3, 2281), (6966, 3, 748), (6966, 2, 68), (6966, 3, 2281), (6966, 3, 297), (6966, 3, 748), (6966, 3, 10), (6966, 2, 68)]",5.255751602817327e-06,"[0.0007489706040360034, 8.222802421187225e-07]","(6966, 11, 8038)",1,8
1.0,0.9991849362850189,"[1, 1]","[(7751, 3, 177), (7751, 4, 66), (7751, 3, 39), (7751, 8, 7427), (7751, 3, 177), (7751, 4, 66), (7751, 3, 2754), (7751, 8, 7427), (7751, 3, 40), (7751, 3, 177), (7751, 4, 66), (7751, 8, 7427)]",3.855851460343729e-08,"[0.9997108578681946, 0.9986590147018433]","(7751, 10, 7830)",1,12
2.0,0.4683254060219042,"[1, 3]","[(4952, 1, 941), (4952, 3, 4955), (4952, 3, 880), (4952, 3, 38), (4952, 2, 30), (4952, 1, 941), (4952, 3, 38), (4952, 1, 941)]",8.646970672998577e-05,"[0.9360178709030151, 0.0006329411407932639]","(4952, 11, 7956)",1,8
2.5,0.39324195342487656,"[1, 4]","[(4777, 4, 169), (4777, 1, 1054), (4777, 3, 346), (4777, 4, 169), (4777, 1, 1054), (4777, 3, 4782), (4777, 3, 434), (4777, 4, 169), (4777, 1, 1054), (4777, 3, 434)]",6.771103926439537e-06,"[0.7855525016784668, 0.0009314051712863147]","(4777, 11, 7956)",1,10
1.0,0.9997977018356323,"[1, 1]","[(4912, 3, 4), (4912, 3, 504), (4912, 3, 748), (4912, 4, 66), (4912, 3, 748), (4912, 4, 66), (4912, 3, 40), (4912, 3, 2044), (4912, 3, 4), (4912, 3, 10), (4912, 3, 2966), (4912, 4, 66)]",4.383919005590542e-08,"[0.999969482421875, 0.9996259212493896]","(4912, 10, 7830)",1,12
2.5,0.000102162121748961,"[3, 2]","[(7392, 3, 33), (7392, 3, 10), (7392, 3, 33), (7392, 1, 2467)]",4.9305614084005356e-05,"[6.736823365827149e-07, 0.00020365056116133928]","(7392, 8, 7409)",1,4
7.5,4.0396110622731296e-05,"[13, 2]","[(7289, 3, 41), (7289, 3, 33), (7289, 3, 39)]",0.0023090641479939222,"[1.0501873815016438e-09, 8.079117105808109e-05]","(7289, 8, 7410)",1,3
3.5,0.00011877175199970225,"[4, 3]","[(6383, 3, 476), (6383, 3, 303), (6383, 3, 733)]",0.0007060354109853506,"[1.4214062957762508e-06, 0.00023612209770362824]","(6383, 8, 7427)",1,3
1.0,0.9995378851890564,"[1, 1]","[(5897, 3, 5901), (5897, 3, 479), (5897, 4, 5898), (5897, 5, 5899), (5897, 3, 476), (5897, 3, 149), (5897, 2, 31), (5897, 4, 5898), (5897, 3, 10), (5897, 3, 40), (5897, 3, 9), (5897, 5, 5899)]",1.0150869478309232e-08,"[0.9998440742492676, 0.9992316961288452]","(5897, 10, 7830)",1,12
3.5,4.4788003492612916e-06,"[3, 4]","[(5665, 3, 479), (5665, 3, 40), (5665, 3, 111)]",0.00212707556784153,"[7.746031087663141e-07, 8.182997589756269e-06]","(5665, 8, 7427)",1,3
